,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,score,lastMove
0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,'w'
1,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,4,'d'
2,2,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,'a'
3,4,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,8,'w'
4,4,4,2,0,0,2,0,0,0,0,0,0,0,0,0,0,8,'w'
5,8,2,0,0,2,0,0,0,2,0,0,0,0,0,0,0,16,'a'
6,8,2,0,2,4,0,0,0,0,0,0,0,0,0,0,0,20,'w'
7,8,4,2,0,4,0,0,0,0,0,0,0,0,0,0,0,24,'a'
8,8,4,2,0,4,0,0,0,0,0,0,0,2,0,0,0,24,'a'
9,8,4,2,2,4,0,0,0,2,0,0,0,0,0,0,0,24,'w'
10,8,4,4,2,4,0,0,0,2,0,0,0,0,0,0,0,28,'w'
11,8,4,4,2,4,0,2,0,2,0,0,0,0,0,0,0,28,'w'
12,8,8,2,0,4,2,0,0,4,0,0,0,0,0,0,0,40,'a'
13,16,2,0,0,4,2,0,0,4,0,0,0,2,0,0,0,56,'a'
14,16,4,0,0,8,2,0,0,2,0,0,0,0,0,0,0,68,'w'
15,16,4,2,0,8,2,0,0,2,0,0,0,0,0,0,0,68,'w'
16,16,4,4,0,8,2,0,0,2,0,0,0,0,0,0,0,72,'w'
17,16,4,4,2,8,2,0,0,2,0,0,0,0,0,0,0,72,'w'
18,16,8,2,0,8,4,0,0,2,0,0,0,0,0,0,0,84,'a'
19,16,8,4,0,8,4,0,0,2,0,0,0,0,0,0,0,88,'w'
20,16,8,4,0,8,4,0,0,4,0,0,0,0,0,0,0,92,'a'
21,16,8,4,2,8,4,0,0,4,0,0,0,0,0,0,0,92,'w'
22,16,8,4,4,8,4,0,0,4,0,0,0,0,0,0,0,96,'w'
23,16,8,8,0,8,4,0,0,4,0,0,0,2,0,0,0,104,'a'
24,16,16,0,0,8,4,0,0,4,0,0,0,4,0,0,0,124,'a'
25,32,0,0,0,8,4,0,0,4,2,0,0,4,0,0,0,156,'a'
26,32,4,2,0,8,2,0,0,8,0,0,0,0,0,0,0,164,'w'
27,32,4,4,0,16,2,0,0,0,0,0,0,0,0,0,0,184,'w'
28,32,4,4,2,16,2,0,0,0,0,0,0,0,0,0,0,184,'w'
29,32,8,2,0,16,2,0,0,2,0,0,0,0,0,0,0,192,'a'
30,32,8,2,0,16,2,0,0,2,0,0,0,2,0,0,0,192,'a'
31,32,8,2,0,16,4,0,0,4,0,0,0,0,0,0,0,200,'w'
32,32,8,4,0,16,4,0,0,4,0,0,0,0,0,0,0,204,'w'
33,0,32,8,4,0,0,16,4,0,0,4,2,0,0,0,0,204,'d'
34,32,8,4,0,16,4,0,0,2,4,2,0,0,0,0,0,204,'a'
35,32,8,4,0,16,8,4,0,2,0,0,0,0,0,0,0,216,'w'
36,32,16,8,2,16,0,0,0,2,0,0,0,0,0,0,0,240,'w'
37,32,16,8,2,16,2,0,0,2,0,0,0,0,0,0,0,240,'w'
38,32,16,8,4,16,2,0,0,2,0,0,0,0,0,0,0,244,'w'
39,32,16,8,4,16,4,0,0,2,0,0,0,0,0,0,0,248,'w'
40,32,16,8,4,0,16,4,2,0,0,0,2,0,0,0,0,248,'d'
41,32,32,8,4,2,0,4,4,0,0,0,0,0,0,0,0,284,'w'
42,64,8,4,0,2,8,0,0,0,0,0,0,2,0,0,0,356,'a'
43,64,8,4,0,2,8,0,0,0,0,0,0,4,0,0,0,360,'a'
44,64,16,4,2,2,0,0,0,4,0,0,0,0,0,0,0,376,'w'
45,64,16,4,2,0,0,0,4,0,0,0,4,0,0,0,0,380,'d'
46,64,16,4,2,0,0,2,8,0,0,0,0,0,0,0,0,388,'w'
47,64,16,4,2,2,8,0,0,0,0,0,0,2,0,0,0,388,'a'
48,64,16,4,2,4,8,0,0,0,2,0,0,0,0,0,0,392,'w'
49,64,16,4,2,0,0,4,8,0,0,0,4,0,0,0,0,396,'d'
50,64,16,4,2,2,4,8,0,4,0,0,0,0,0,0,0,396,'a'
51,64,16,4,2,0,2,4,8,0,0,0,4,0,0,0,2,396,'d'
52,64,16,8,2,0,2,2,8,0,0,0,4,0,0,0,2,404,'w'
53,64,16,8,2,4,8,0,0,4,0,0,0,4,0,0,0,412,'a'
54,64,16,8,2,0,4,8,2,0,0,0,4,0,0,0,4,412,'d'
55,64,16,16,4,2,4,0,8,0,0,0,0,0,0,0,0,440,'w'
56,64,32,4,0,2,4,2,8,0,0,0,0,0,0,0,0,472,'a'
57,64,32,4,0,2,4,2,8,2,0,0,0,0,0,0,0,472,'a'
58,64,32,4,8,4,4,2,0,0,2,0,0,0,0,0,0,476,'w'
59,64,32,4,8,0,0,8,2,0,0,0,4,0,0,0,0,488,'d'
60,64,32,4,8,0,2,8,2,0,0,0,4,0,0,0,0,488,'w'
61,64,32,4,8,2,8,2,0,4,0,0,0,2,0,0,0,488,'a'
62,64,32,4,8,0,2,8,2,0,0,4,2,0,0,0,2,488,'d'
63,64,32,4,8,2,8,2,0,4,2,0,0,4,0,0,0,492,'a'
64,64,32,4,8,2,8,2,2,8,2,0,0,0,0,0,0,500,'w'
65,64,32,4,8,2,8,4,0,8,2,0,0,2,0,0,0,504,'a'
66,64,32,8,8,2,8,0,2,8,2,0,0,2,0,0,0,512,'w'
67,64,32,16,0,2,8,4,0,8,2,0,0,2,0,0,0,532,'a'
68,64,32,16,2,0,2,8,4,0,0,8,2,0,0,0,2,532,'d'
69,64,32,16,2,2,2,16,4,0,0,0,4,0,0,0,0,552,'w'
70,64,32,32,2,2,2,2,8,0,0,0,0,0,0,0,0,592,'w'
71,64,64,2,0,4,2,8,0,0,0,0,0,2,0,0,0,660,'a'
72,128,2,0,0,4,2,8,0,2,0,0,0,2,0,0,0,788,'a'
73,128,4,8,0,4,0,2,0,4,0,0,0,0,0,0,0,796,'w'
74,128,4,8,0,8,2,2,0,0,0,0,0,0,0,0,0,804,'w'
75,128,4,8,0,8,2,4,0,0,0,0,0,0,0,0,0,808,'w'
76,128,4,8,2,0,8,2,4,0,0,0,0,0,0,0,0,808,'d'
77,128,4,8,2,8,2,4,0,2,0,0,0,0,0,0,0,808,'a'
78,128,4,8,4,8,2,4,0,2,0,0,0,0,0,0,0,812,'w'
79,128,4,8,4,8,4,4,0,2,0,0,0,0,0,0,0,816,'w'
80,128,8,8,4,8,0,4,0,4,0,0,0,0,0,0,0,828,'w'
81,128,16,4,0,8,4,0,0,4,2,0,0,0,0,0,0,844,'a'
82,128,16,4,0,8,4,0,0,4,4,0,0,0,0,0,0,848,'w'
83,128,16,4,0,8,8,2,0,4,0,0,0,0,0,0,0,856,'w'
84,128,16,4,0,16,2,0,0,4,2,0,0,0,0,0,0,872,'a'
85,128,16,4,0,16,2,0,0,4,2,0,0,2,0,0,0,872,'a'
86,128,16,4,2,16,4,0,0,4,0,0,0,2,0,0,0,876,'w'
87,128,16,4,2,16,4,0,0,4,2,0,0,2,0,0,0,876,'w'
88,128,16,4,2,16,4,0,0,4,4,0,0,2,0,0,0,880,'w'
89,128,16,4,4,16,8,0,0,4,0,0,0,2,0,0,0,892,'w'
90,128,16,4,4,16,8,2,0,4,0,0,0,2,0,0,0,892,'w'
91,128,16,8,0,16,8,4,0,4,0,0,0,2,0,0,0,904,'a'
92,128,16,8,2,16,8,4,0,4,0,0,0,2,0,0,0,904,'w'
93,128,16,8,2,0,16,8,4,0,0,0,4,0,0,0,4,908,'d'
94,128,32,16,2,2,0,0,8,0,0,0,4,0,0,0,0,964,'w'
95,128,32,16,2,2,8,0,0,4,0,0,0,2,0,0,0,964,'a'
96,128,32,16,2,0,0,2,8,0,0,4,2,0,0,0,2,964,'d'
97,128,32,16,2,2,0,2,8,0,0,4,4,0,0,0,0,968,'w'
98,128,32,16,2,4,8,0,0,8,0,0,0,2,0,0,0,980,'a'
99,128,32,16,2,0,0,4,8,0,0,8,2,0,0,0,2,980,'d'
100,128,32,16,2,2,0,4,8,0,0,8,4,0,0,0,0,984,'w'
101,128,32,16,2,2,4,8,0,2,8,4,0,0,0,0,0,984,'a'
102,128,32,16,4,4,4,8,0,0,8,4,0,0,0,0,0,992,'w'
103,128,32,16,4,0,0,8,8,0,0,8,4,0,0,0,2,1000,'d'
104,128,32,16,4,2,0,16,8,0,0,0,4,0,0,0,2,1016,'w'
105,128,32,32,4,4,0,0,8,0,0,0,4,0,0,0,2,1052,'w'
106,128,64,4,0,4,8,0,0,4,0,0,0,4,0,0,0,1120,'a'
107,128,64,4,2,8,8,0,0,4,0,0,0,0,0,0,0,1128,'w'
108,128,64,4,2,0,0,0,16,0,0,4,2,0,0,0,0,1144,'d'
109,128,64,8,2,0,2,0,16,0,0,0,2,0,0,0,0,1152,'w'
110,128,64,8,2,2,16,0,0,2,0,0,0,2,0,0,0,1152,'a'
111,128,64,8,2,4,16,2,0,2,0,0,0,0,0,0,0,1156,'w'
112,128,64,8,4,4,16,2,0,2,0,0,0,0,0,0,0,1160,'w'
113,128,64,8,4,4,16,2,2,2,0,0,0,0,0,0,0,1160,'w'
114,128,64,8,4,4,16,4,2,2,0,0,0,0,0,0,0,1164,'w'
115,128,64,8,4,4,16,4,2,4,0,0,0,0,0,0,0,1168,'a'
116,128,64,8,4,8,16,4,2,0,2,0,0,0,0,0,0,1176,'w'
117,128,64,8,4,8,16,4,2,0,0,0,2,0,0,0,2,1176,'d'
118,128,64,8,4,8,16,4,4,0,2,0,2,0,0,0,0,1180,'w'
119,128,64,8,4,8,16,8,0,4,0,0,0,2,0,0,0,1192,'a'
120,128,64,16,4,8,16,2,0,4,0,0,0,2,0,0,0,1208,'w'
121,128,64,16,4,0,8,16,2,0,0,0,4,0,0,0,4,1212,'d'
122,128,64,32,4,2,8,0,2,0,0,0,8,0,0,0,0,1252,'w'
123,128,64,32,4,2,8,2,0,8,0,0,0,2,0,0,0,1252,'a'
124,128,64,32,4,2,8,2,0,8,2,0,0,2,0,0,0,1252,'w'
125,128,64,32,4,2,8,4,0,8,2,0,0,2,0,0,0,1256,'w'
126,128,64,32,4,2,8,4,2,8,2,0,0,2,0,0,0,1256,'w'
127,128,64,32,4,2,8,4,2,0,0,8,4,0,0,0,2,1260,'d'
128,128,64,32,4,4,8,4,2,0,0,8,4,0,0,0,2,1264,'w'
129,128,64,32,4,4,8,4,2,2,8,4,0,2,0,0,0,1264,'a'
130,128,64,32,4,4,16,8,4,4,0,0,0,0,0,0,0,1296,'w'
131,128,64,32,4,4,16,8,4,0,0,0,4,0,0,0,2,1296,'d'
132,128,64,32,8,4,16,8,4,2,0,0,2,0,0,0,0,1304,'w'
133,128,64,32,8,4,16,8,4,0,0,0,4,0,0,0,2,1308,'d'
134,128,64,32,8,4,16,8,8,0,0,2,2,0,0,0,0,1316,'w'
135,128,64,32,8,4,16,16,0,4,0,0,0,2,0,0,0,1336,'a'
136,128,64,32,8,4,32,2,0,4,0,0,0,2,0,0,0,1368,'a'
137,128,64,32,8,0,4,32,4,0,0,0,4,0,0,0,2,1372,'d'
138,128,64,64,8,2,4,0,8,0,0,0,2,0,0,0,0,1444,'w'
139,128,128,8,0,2,4,8,0,2,0,0,0,2,0,0,0,1572,'a'
140,256,8,2,0,2,4,8,0,2,0,0,0,2,0,0,0,1828,'a'
141,256,8,2,0,4,4,8,0,2,2,0,0,0,0,0,0,1832,'w'
142,256,8,2,0,4,4,8,0,4,2,0,0,0,0,0,0,1836,'w'
143,256,8,2,0,8,4,8,0,0,2,2,0,0,0,0,0,1844,'w'
144,256,8,2,2,8,4,8,0,0,2,2,0,0,0,0,0,1844,'w'
145,256,8,4,0,8,4,8,0,4,2,0,0,0,0,0,0,1852,'a'
146,256,8,4,0,8,4,8,0,4,4,0,0,0,0,0,0,1856,'a'
147,256,8,4,2,8,8,8,0,4,0,0,0,0,0,0,0,1864,'w'
148,256,16,4,2,8,0,8,0,4,0,2,0,0,0,0,0,1880,'w'
149,256,16,4,2,0,0,0,16,0,0,4,2,0,0,0,2,1896,'d'
150,256,16,4,2,16,0,0,0,2,4,2,0,2,0,0,0,1896,'a'
151,256,16,4,2,16,4,4,0,4,0,0,0,0,0,0,0,1904,'w'
152,256,16,8,4,16,4,0,0,4,0,0,0,0,0,0,0,1916,'w'
153,256,16,8,4,16,4,0,0,4,2,0,0,0,0,0,0,1916,'a'
154,256,16,8,4,16,4,2,0,4,2,0,0,0,0,0,0,1916,'w'
155,256,16,8,4,16,4,2,0,4,2,0,0,2,0,0,0,1916,'a'
156,256,16,8,4,16,4,4,0,4,2,0,0,2,0,0,0,1920,'w'
157,256,16,8,4,16,8,0,0,4,2,0,0,4,0,0,0,1932,'a'
158,256,16,8,4,16,8,0,2,8,2,0,0,0,0,0,0,1940,'w'
159,256,16,8,4,16,8,2,0,8,2,0,0,2,0,0,0,1940,'a'
160,256,16,8,4,16,8,2,2,8,2,0,0,2,0,0,0,1940,'w'
161,256,16,8,4,16,8,4,0,8,2,0,0,4,0,0,0,1948,'a'
162,256,16,8,4,16,8,4,0,8,2,2,0,4,0,0,0,1948,'w'
163,256,16,8,4,16,8,4,0,8,4,0,0,4,2,0,0,1952,'a'
164,256,16,8,4,16,8,4,2,8,4,0,0,4,2,0,0,1952,'w'
165,256,16,8,4,16,8,4,2,8,4,2,0,4,2,0,0,1952,'a'
166,256,16,8,4,16,8,4,2,8,4,4,0,4,2,0,0,1956,'w'
167,256,16,8,4,16,8,8,4,8,4,0,0,4,2,0,0,1968,'w'
168,256,16,16,8,16,8,2,0,8,4,0,0,4,2,0,0,1992,'w'
169,256,32,8,0,16,8,2,0,8,4,2,0,4,2,0,0,2024,'a'
170,256,32,8,2,16,8,4,0,8,4,0,0,4,2,0,0,2028,'w'
171,256,32,8,2,0,16,8,4,0,0,8,4,0,0,4,4,2032,'d'
172,256,32,16,2,2,16,8,8,0,0,4,4,0,0,0,0,2056,'w'
173,256,32,16,2,2,16,16,0,8,0,0,0,2,0,0,0,2080,'a'
174,256,32,32,4,2,16,0,0,8,0,0,0,2,0,0,0,2116,'w'
175,256,64,4,0,2,16,2,0,8,0,0,0,2,0,0,0,2180,'a'
176,256,64,4,2,2,16,2,0,8,0,0,0,2,0,0,0,2180,'w'
177,256,64,4,2,0,2,16,2,0,0,8,2,0,0,0,2,2180,'d'
