,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,score,lastMove
0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,'w'
1,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,'a'
2,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,8,'w'
3,8,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,16,'w'
4,8,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,20,'w'
5,0,0,8,2,0,0,0,4,0,0,0,0,0,0,0,0,20,'d'
6,8,2,0,0,4,0,0,0,2,0,0,0,0,0,0,0,20,'a'
7,8,2,0,2,4,0,0,0,2,0,0,0,0,0,0,0,20,'w'
8,8,2,0,4,4,0,0,0,2,0,0,0,0,0,0,0,24,'w'
9,8,2,2,4,4,0,0,0,2,0,0,0,0,0,0,0,24,'w'
10,8,4,4,0,4,0,0,0,2,0,0,0,2,0,0,0,28,'a'
11,8,8,0,0,4,0,0,0,2,0,0,0,4,0,0,0,40,'a'
12,16,2,0,0,4,0,0,0,2,0,0,0,4,0,0,0,56,'a'
13,16,2,2,0,4,0,0,0,2,0,0,0,4,0,0,0,56,'w'
14,16,4,2,0,4,0,0,0,2,0,0,0,4,0,0,0,60,'a'
15,16,4,2,0,4,0,0,0,4,0,0,0,4,0,0,0,64,'a'
16,16,4,4,0,8,0,0,0,4,0,0,0,0,0,0,0,76,'w'
17,16,4,4,0,8,2,0,0,4,0,0,0,0,0,0,0,76,'w'
18,16,4,4,0,8,2,2,0,4,0,0,0,0,0,0,0,76,'w'
19,16,8,2,0,8,4,0,0,4,0,0,0,0,0,0,0,88,'a'
20,16,8,4,0,8,4,0,0,4,0,0,0,0,0,0,0,92,'w'
21,0,16,8,4,0,8,4,2,0,0,0,4,0,0,0,0,92,'d'
22,16,8,4,0,8,4,2,0,4,0,0,0,2,0,0,0,92,'a'
23,16,8,4,0,8,4,4,0,4,0,0,0,2,0,0,0,96,'w'
24,16,8,8,2,8,4,0,0,4,0,0,0,2,0,0,0,104,'w'
25,16,8,8,4,8,4,0,0,4,0,0,0,2,0,0,0,108,'w'
26,16,16,4,0,8,4,0,0,4,0,0,0,4,0,0,0,128,'a'
27,32,4,0,0,8,4,2,0,4,0,0,0,4,0,0,0,160,'a'
28,32,8,4,0,8,0,0,0,8,0,0,0,0,0,0,0,180,'w'
29,32,8,4,2,16,0,0,0,0,0,0,0,0,0,0,0,196,'w'
30,32,8,4,2,16,2,0,0,0,0,0,0,0,0,0,0,196,'w'
31,32,8,4,2,16,2,2,0,0,0,0,0,0,0,0,0,196,'w'
32,32,8,4,4,16,2,2,0,0,0,0,0,0,0,0,0,200,'w'
33,32,8,4,4,16,2,2,2,0,0,0,0,0,0,0,0,200,'w'
34,32,8,4,4,16,2,2,4,0,0,0,0,0,0,0,0,204,'w'
35,32,8,4,8,16,2,4,0,0,0,0,0,0,0,0,0,216,'w'
36,32,8,8,8,16,2,2,0,0,0,0,0,0,0,0,0,224,'w'
37,32,8,8,8,16,4,2,0,0,0,0,0,0,0,0,0,228,'w'
38,32,8,8,8,16,4,4,0,0,0,0,0,0,0,0,0,232,'w'
39,32,8,8,8,16,4,4,2,0,0,0,0,0,0,0,0,232,'w'
40,32,8,8,8,16,4,4,4,0,0,0,0,0,0,0,0,236,'w'
41,32,16,8,0,16,8,4,0,2,0,0,0,0,0,0,0,260,'a'
42,32,16,8,0,16,8,4,0,4,0,0,0,0,0,0,0,264,'a'
43,32,16,8,2,0,16,8,4,0,0,0,4,0,0,0,0,264,'d'
44,32,16,8,2,16,8,4,0,4,0,0,0,2,0,0,0,264,'a'
45,32,16,8,2,16,8,4,2,0,0,0,4,0,0,0,2,264,'d'
46,32,16,8,4,16,8,4,4,2,0,0,2,0,0,0,0,268,'w'
47,32,16,8,8,16,8,4,2,2,0,2,0,0,0,0,0,276,'w'
48,32,16,16,0,16,8,4,2,4,0,0,0,2,0,0,0,296,'a'
49,32,32,0,0,16,8,4,2,4,0,0,0,4,0,0,0,332,'a'
50,64,0,0,0,16,8,4,2,4,0,0,0,4,2,0,0,396,'a'
51,64,8,4,4,16,2,0,0,8,0,0,0,0,0,0,0,408,'w'
52,64,8,4,4,16,2,0,2,8,0,0,0,0,0,0,0,408,'w'
53,64,8,4,4,16,4,0,2,8,0,0,0,0,0,0,0,412,'w'
54,64,8,4,4,16,4,0,4,8,0,0,0,0,0,0,0,416,'w'
55,64,8,4,8,16,4,2,0,8,0,0,0,0,0,0,0,424,'w'
56,64,8,4,8,16,4,2,2,8,0,0,0,0,0,0,0,424,'w'
57,64,8,4,8,16,4,4,0,8,0,0,0,2,0,0,0,428,'a'
58,64,8,8,8,16,4,0,0,8,2,0,0,2,0,0,0,436,'w'
59,64,16,8,0,16,4,0,0,8,4,0,0,2,0,0,0,456,'a'
60,64,16,8,0,16,4,2,0,8,4,0,0,2,0,0,0,456,'a'
61,64,16,8,0,16,8,4,0,8,0,0,0,2,0,0,0,468,'w'
62,64,16,8,0,16,8,4,0,8,2,0,0,2,0,0,0,468,'w'
63,64,16,8,0,16,8,4,0,8,2,2,0,2,0,0,0,468,'w'
64,64,16,8,2,0,16,8,4,0,0,8,4,0,0,0,2,472,'d'
65,64,32,16,2,0,0,8,8,0,0,2,2,0,0,0,0,528,'w'
66,64,32,16,2,2,16,0,0,4,0,0,0,0,0,0,0,548,'a'
67,64,32,16,2,2,16,0,0,4,0,0,0,2,0,0,0,548,'a'
68,64,32,16,4,2,16,0,0,4,0,0,0,2,0,0,0,552,'w'
69,64,32,16,4,2,16,2,0,4,0,0,0,2,0,0,0,552,'w'
70,64,32,16,4,0,2,16,2,0,0,4,2,0,0,0,2,552,'d'
71,64,32,32,4,0,2,4,4,0,0,2,2,0,0,0,0,588,'w'
72,0,64,64,4,0,0,4,8,0,0,0,4,0,0,0,0,668,'d'
73,128,4,0,0,4,8,0,0,2,4,0,0,0,0,0,0,796,'a'
74,128,4,0,2,4,8,0,0,2,4,0,0,0,0,0,0,796,'w'
75,128,4,0,2,4,8,0,0,4,4,0,0,0,0,0,0,800,'w'
76,128,4,0,4,8,8,0,0,0,4,0,0,0,0,0,0,812,'w'
77,128,4,0,4,8,8,0,2,0,4,0,0,0,0,0,0,812,'w'
78,128,4,0,4,8,8,0,4,0,4,0,0,0,0,0,0,816,'w'
79,128,8,0,0,16,4,0,0,4,0,0,0,2,0,0,0,840,'a'
80,128,8,0,2,16,4,0,0,4,0,0,0,2,0,0,0,840,'w'
81,128,8,4,0,16,4,0,0,4,0,0,0,2,0,0,0,844,'a'
82,128,8,4,0,16,4,2,0,4,0,0,0,2,0,0,0,844,'w'
83,128,8,4,0,16,4,2,0,4,0,0,0,4,0,0,0,848,'a'
84,128,8,4,2,16,4,2,0,8,0,0,0,0,0,0,0,856,'w'
85,128,8,4,2,16,4,2,0,8,0,0,0,2,0,0,0,856,'a'
86,128,8,4,4,16,4,2,0,8,0,0,0,2,0,0,0,860,'w'
87,128,8,8,0,16,4,2,0,8,2,0,0,2,0,0,0,868,'a'
88,128,8,8,0,16,4,2,0,8,4,0,0,2,0,0,0,872,'w'
89,128,16,0,0,16,4,2,0,8,4,0,0,4,0,0,0,892,'a'
90,128,16,2,2,16,8,0,0,8,0,0,0,4,0,0,0,900,'w'
91,128,16,4,0,16,8,0,0,8,0,0,0,4,2,0,0,904,'a'
92,128,16,4,2,16,8,0,0,8,2,0,0,4,0,0,0,904,'w'
93,128,16,4,2,16,8,0,0,8,4,0,0,4,0,0,0,908,'w'
94,128,16,4,2,16,8,0,0,8,4,2,0,4,0,0,0,908,'a'
95,128,16,4,4,16,8,2,0,8,4,0,0,4,0,0,0,912,'w'
96,128,16,8,0,16,8,2,0,8,4,2,0,4,0,0,0,920,'a'
97,128,16,8,0,16,8,4,0,8,4,2,0,4,0,0,0,924,'w'
98,128,16,8,2,0,16,8,4,0,8,4,2,0,0,0,4,924,'d'
99,128,32,16,2,2,8,4,4,0,0,0,2,0,0,0,4,972,'w'
100,128,32,16,2,2,8,8,0,2,0,0,0,2,4,0,0,980,'a'
101,128,32,16,2,4,8,8,0,2,4,2,0,0,0,0,0,984,'w'
102,128,32,16,2,4,16,0,0,2,4,2,0,2,0,0,0,1000,'a'
103,128,32,16,2,4,16,4,0,4,4,0,0,0,0,0,0,1008,'w'
104,128,32,16,2,0,4,16,4,0,0,0,8,0,0,0,2,1016,'d'
105,128,32,32,2,0,4,0,4,0,2,0,8,0,0,0,2,1048,'w'
106,128,64,2,0,8,0,0,0,2,8,0,0,4,0,0,0,1124,'a'
107,128,64,2,2,8,8,0,0,2,0,0,0,4,0,0,0,1124,'w'
108,128,64,4,0,16,2,0,0,2,0,0,0,4,0,0,0,1144,'a'
109,128,64,4,2,16,2,0,0,2,0,0,0,4,0,0,0,1144,'w'
110,128,64,4,4,16,2,0,0,2,0,0,0,4,0,0,0,1148,'w'
111,128,64,8,0,16,2,0,0,2,0,0,0,4,2,0,0,1156,'a'
112,128,64,8,2,16,4,0,0,2,0,0,0,4,0,0,0,1160,'w'
113,128,64,8,2,16,4,0,0,2,2,0,0,4,0,0,0,1160,'w'
114,128,64,8,2,16,4,2,0,4,0,0,0,4,0,0,0,1164,'a'
115,128,64,8,4,16,4,2,0,8,0,0,0,0,0,0,0,1176,'w'
116,128,64,8,4,16,4,2,0,8,0,0,0,2,0,0,0,1176,'a'
117,128,64,8,4,16,4,4,0,8,0,0,0,2,0,0,0,1180,'a'
118,128,64,8,4,16,8,0,0,8,2,0,0,2,0,0,0,1188,'a'
119,128,64,8,4,16,8,0,2,8,2,0,0,2,0,0,0,1188,'w'
120,128,64,8,4,16,8,2,0,8,2,0,0,4,0,0,0,1192,'a'
121,128,64,8,4,16,8,4,0,8,2,0,0,4,0,0,0,1196,'w'
122,128,64,8,4,16,8,4,0,8,2,0,0,4,2,0,0,1196,'a'
123,128,64,8,4,16,8,4,0,8,4,2,0,4,0,0,0,1200,'w'
124,128,64,8,4,16,8,4,0,8,4,2,0,4,2,0,0,1200,'a'
125,128,64,8,4,16,8,4,2,8,4,2,0,4,2,0,0,1200,'w'
126,128,64,8,4,16,8,4,2,8,4,2,0,4,4,0,0,1204,'a'
127,128,64,8,4,16,8,4,4,8,8,2,0,4,0,0,0,1216,'w'
128,128,64,8,8,16,16,4,2,8,0,2,0,4,0,0,0,1240,'w'
129,128,64,16,0,32,4,2,0,8,2,0,0,4,2,0,0,1288,'a'
130,128,64,16,2,32,4,2,0,8,4,0,0,4,0,0,0,1292,'w'
131,128,64,16,2,32,8,2,0,8,2,0,0,4,0,0,0,1300,'w'
132,128,64,16,4,32,8,2,0,8,2,0,0,4,0,0,0,1304,'w'
133,128,64,16,4,32,8,2,0,8,4,0,0,4,0,0,0,1308,'w'
134,128,64,16,4,0,32,8,2,0,0,8,4,0,0,4,2,1308,'d'
135,128,64,16,4,2,32,16,2,0,0,4,4,0,0,0,2,1324,'w'
136,128,64,32,4,4,32,4,2,0,0,0,4,0,0,0,2,1360,'w'
137,128,64,32,4,4,32,4,2,0,0,0,4,0,0,0,4,1364,'d'
138,128,64,32,4,4,32,4,2,2,0,0,8,0,0,0,0,1372,'w'
139,128,64,32,4,4,32,4,2,2,8,0,0,2,0,0,0,1372,'a'
140,128,64,32,4,4,32,4,2,4,8,2,0,0,0,0,0,1376,'w'
141,128,64,32,4,8,32,4,2,0,8,2,0,0,2,0,0,1384,'w'
142,128,64,32,4,8,32,4,2,0,2,8,2,0,0,0,2,1384,'d'
143,128,64,32,4,8,32,4,4,0,2,8,2,0,0,2,0,1388,'w'
144,128,64,32,4,8,32,8,0,2,8,2,0,4,0,0,0,1400,'a'
145,128,64,32,4,0,8,32,8,0,2,8,4,0,0,0,4,1404,'d'
146,128,64,64,4,0,8,8,8,0,2,2,8,0,0,0,0,1476,'w'
147,128,128,4,0,2,16,8,0,4,8,0,0,0,0,0,0,1624,'a'
148,256,4,0,0,2,16,8,0,4,8,0,0,2,0,0,0,1880,'a'
149,256,4,8,2,2,16,0,0,4,8,0,0,2,0,0,0,1880,'w'
150,256,4,8,2,2,16,2,0,4,8,0,0,2,0,0,0,1880,'w'
151,256,4,8,4,2,16,2,0,4,8,0,0,2,0,0,0,1884,'w'
152,256,4,8,4,0,2,16,2,0,4,8,2,0,0,0,2,1884,'d'
153,256,4,8,4,2,2,16,4,0,4,8,2,0,0,0,0,1888,'w'
154,256,4,8,4,4,16,4,0,4,8,2,0,2,0,0,0,1892,'a'
155,256,4,8,4,8,16,4,0,2,8,2,0,0,2,0,0,1900,'w'
156,256,4,8,4,8,16,4,0,2,8,2,0,4,0,0,0,1904,'a'
157,256,4,8,4,0,8,16,4,0,2,8,4,0,0,0,4,1908,'d'
158,256,4,8,8,2,8,16,8,0,2,8,0,0,0,0,0,1924,'w'
159,256,4,16,0,2,8,16,8,4,8,0,0,0,0,0,0,1944,'a'
160,256,4,32,8,2,16,0,0,4,0,0,0,2,0,0,0,1992,'w'
161,256,4,32,8,2,16,0,0,4,0,0,0,4,0,0,0,1996,'a'
162,256,4,32,8,2,16,0,2,8,0,0,0,0,0,0,0,2004,'w'
163,256,4,32,8,2,16,2,0,8,2,0,0,0,0,0,0,2004,'a'
164,256,4,32,8,2,16,2,2,8,2,0,0,0,0,0,0,2004,'w'
165,256,4,32,8,2,16,4,0,8,2,0,0,2,0,0,0,2008,'a'
166,256,4,32,8,2,16,4,0,8,2,2,0,2,0,0,0,2008,'w'
167,256,4,32,8,2,16,4,0,8,4,0,0,4,0,0,0,2016,'a'
168,256,4,32,8,0,2,16,4,0,0,8,4,0,0,4,2,2016,'d'
169,256,4,32,8,0,4,16,8,0,0,8,2,0,0,4,0,2028,'w'
170,256,4,32,8,4,16,8,0,8,2,0,0,4,2,0,0,2028,'a'
171,256,4,32,8,4,16,8,2,8,4,0,0,4,0,0,0,2032,'w'
172,256,4,32,8,4,16,8,2,0,0,8,4,0,0,4,2,2032,'d'
173,256,4,32,8,4,16,16,2,0,2,4,4,0,0,0,2,2048,'w'
174,256,4,32,8,4,32,2,0,4,8,0,0,2,0,0,0,2092,'a'
175,256,4,32,8,8,32,2,2,2,8,0,0,0,0,0,0,2100,'w'
176,256,4,32,8,8,32,4,0,2,8,0,0,2,0,0,0,2104,'a'
177,256,4,32,8,8,32,4,2,4,8,0,0,0,0,0,0,2108,'w'
178,256,4,32,8,8,32,4,2,0,0,4,8,0,0,0,2,2108,'d'
