,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,score,lastMove
79,128,8,0,0,16,4,0,0,4,2,0,0,0,0,0,0,840,'w'
80,128,8,2,0,16,4,0,0,4,2,0,0,0,0,0,0,840,'w'
81,128,8,4,0,16,4,0,0,4,2,0,0,0,0,0,0,844,'w'
82,128,8,4,0,16,4,0,0,4,4,0,0,0,0,0,0,848,'w'
83,128,8,4,2,16,8,0,0,4,0,0,0,0,0,0,0,856,'w'
84,128,16,4,4,16,0,0,0,4,0,0,0,0,0,0,0,876,'w'
85,128,16,4,4,16,2,0,0,4,0,0,0,0,0,0,0,876,'w'
86,128,16,4,4,16,4,0,0,4,0,0,0,0,0,0,0,880,'w'
87,128,16,4,4,16,4,0,2,4,0,0,0,0,0,0,0,880,'w'
88,128,16,8,0,16,4,2,0,4,0,0,0,2,0,0,0,888,'a'
89,128,16,8,2,16,4,2,0,4,0,0,0,2,0,0,0,888,'w'
90,128,16,8,2,16,4,2,0,4,0,0,0,4,0,0,0,892,'a'
91,128,16,8,4,16,4,2,0,8,0,0,0,0,0,0,0,904,'w'
92,128,16,8,4,16,4,2,0,8,0,0,0,2,0,0,0,904,'a'
93,128,16,8,4,16,4,2,2,8,0,0,0,2,0,0,0,904,'w'
94,128,16,8,4,16,4,4,0,8,0,0,0,4,0,0,0,912,'a'
95,128,16,8,4,16,4,4,2,8,0,0,0,4,0,0,0,912,'w'
96,128,16,8,4,16,8,2,0,8,2,0,0,4,0,0,0,920,'a'
97,128,16,8,4,16,8,2,2,8,2,0,0,4,0,0,0,920,'w'
98,128,16,8,4,16,8,4,0,8,2,0,0,4,2,0,0,924,'a'
99,128,16,8,4,16,8,4,2,8,4,0,0,4,0,0,0,928,'w'
100,128,16,8,4,16,8,4,2,0,0,8,4,0,0,4,2,928,'d'
101,128,16,8,4,16,8,4,2,2,0,8,4,0,0,4,2,928,'w'
102,128,16,8,4,16,8,4,2,4,8,4,0,4,2,0,0,932,'a'
103,128,16,8,4,16,16,8,2,8,2,2,0,0,0,0,0,964,'w'
104,128,16,8,4,32,8,2,0,8,4,0,0,2,0,0,0,1000,'a'
105,128,16,8,4,32,8,2,2,8,4,0,0,2,0,0,0,1000,'w'
106,128,16,8,4,32,8,4,0,8,4,0,0,4,0,0,0,1008,'a'
107,128,16,8,4,32,8,4,2,8,4,0,0,4,0,0,0,1008,'w'
108,128,16,8,4,32,8,4,4,8,4,0,0,4,0,0,0,1012,'w'
109,128,16,8,8,32,8,4,2,8,4,0,0,4,0,0,0,1020,'w'
110,128,16,8,8,32,8,4,4,8,4,0,0,4,0,0,0,1024,'w'
111,128,16,16,0,32,8,8,0,8,4,0,0,4,2,0,0,1048,'a'
112,128,16,16,2,32,8,8,0,8,4,0,0,4,2,0,0,1048,'w'
113,128,32,2,0,32,16,2,0,8,4,0,0,4,2,0,0,1096,'a'
114,128,32,4,0,32,16,2,0,8,4,0,0,4,2,0,0,1100,'w'
115,128,32,4,0,32,16,4,0,8,4,0,0,4,2,0,0,1104,'a'
116,128,32,8,2,32,16,0,0,8,4,0,0,4,2,0,0,1112,'w'
117,128,32,8,2,32,16,2,0,8,4,0,0,4,2,0,0,1112,'a'
118,128,32,8,4,32,16,2,0,8,4,0,0,4,2,0,0,1116,'w'
