,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
64,8.0,64.0,32.0,8.0,8.0,4.0,2.0,,8.0,4.0,,2.0,4.0,2.0,,,496,w
65,8.0,64.0,32.0,8.0,8.0,4.0,2.0,,8.0,4.0,2.0,,4.0,2.0,2.0,,496,w
66,8.0,64.0,32.0,8.0,8.0,4.0,2.0,,8.0,4.0,2.0,2.0,4.0,4.0,,,500,a
67,,,,2.0,,,,,,,,,,2.0,,,0,a
68,,2.0,,2.0,,,,,,,,2.0,,,,,0,s
69,2.0,,,4.0,,,,,,,,2.0,,,,,4,s
70,,,2.0,4.0,,,,,,,,2.0,2.0,,,,4,w
71,2.0,4.0,,,,,,,2.0,,,2.0,2.0,,,,4,w
72,2.0,4.0,,,,,,,4.0,,,,2.0,,4.0,,8,s
73,,,2.0,4.0,,,,2.0,,,,4.0,,,2.0,4.0,8,w
74,2.0,4.0,,,2.0,2.0,,,4.0,,,,2.0,4.0,,,8,a
75,4.0,4.0,,,4.0,2.0,2.0,,2.0,4.0,,,,,,,12,a
76,8.0,4.0,2.0,,2.0,2.0,,2.0,,4.0,,,,,,,20,w
77,8.0,4.0,2.0,,4.0,2.0,,,4.0,,2.0,,,,,,24,w
78,8.0,4.0,2.0,,4.0,2.0,,,4.0,2.0,,,,,2.0,,24,w
79,8.0,4.0,2.0,,4.0,2.0,2.0,,4.0,2.0,,,2.0,,,,24,w
80,8.0,4.0,2.0,2.0,4.0,4.0,,,4.0,2.0,,,2.0,,,,28,w
81,8.0,4.0,4.0,,8.0,,,,4.0,2.0,,,2.0,2.0,,,40,a
82,16.0,4.0,4.0,,4.0,4.0,,,2.0,,,,,,2.0,,60,a
83,16.0,8.0,4.0,,4.0,,2.0,,2.0,,,2.0,,,,,68,a
84,16.0,8.0,4.0,2.0,4.0,,2.0,,2.0,,,2.0,,,,,68,a
85,16.0,8.0,4.0,4.0,4.0,,2.0,,2.0,2.0,,,,,,,72,a
86,16.0,8.0,4.0,4.0,4.0,2.0,2.0,,2.0,2.0,,,,,,,72,a
87,16.0,8.0,4.0,4.0,4.0,4.0,2.0,,2.0,,,,,2.0,,,76,a
88,16.0,8.0,4.0,4.0,4.0,4.0,2.0,,2.0,2.0,,,2.0,,,,76,a
89,16.0,8.0,4.0,4.0,4.0,4.0,2.0,,4.0,2.0,,2.0,,,,,80,a
90,16.0,8.0,4.0,4.0,8.0,4.0,2.0,2.0,2.0,2.0,,,,,,,88,w
91,16.0,8.0,8.0,,8.0,4.0,4.0,,4.0,,,,4.0,,,,104,a
92,16.0,8.0,8.0,,8.0,4.0,4.0,,8.0,,,2.0,,,,,112,a
93,16.0,8.0,8.0,2.0,16.0,4.0,4.0,,,,,2.0,,,,,128,a
94,32.0,8.0,8.0,4.0,,4.0,4.0,,,,,2.0,,,,,164,a
95,32.0,8.0,8.0,4.0,,4.0,4.0,2.0,,,,2.0,,,,,164,a
96,32.0,8.0,8.0,4.0,,4.0,4.0,4.0,,,,,,,,2.0,168,w
97,32.0,16.0,4.0,,8.0,4.0,,,,,,,2.0,,2.0,,192,a
98,32.0,16.0,4.0,,8.0,4.0,2.0,,2.0,,,,,,2.0,,192,w
99,32.0,16.0,4.0,,8.0,4.0,2.0,,2.0,,2.0,,2.0,,,,192,w
100,32.0,16.0,4.0,,8.0,4.0,2.0,,4.0,,,2.0,2.0,,,,196,w
101,32.0,16.0,4.0,,8.0,4.0,2.0,,4.0,2.0,,2.0,2.0,,,,196,a
102,32.0,16.0,4.0,2.0,8.0,4.0,2.0,,4.0,2.0,,,2.0,2.0,,,196,w
103,32.0,16.0,4.0,2.0,8.0,4.0,2.0,,4.0,2.0,,2.0,4.0,,,,200,a
104,32.0,16.0,4.0,4.0,8.0,4.0,2.0,,8.0,2.0,2.0,,,,,,212,w
105,32.0,16.0,8.0,,8.0,4.0,2.0,,8.0,4.0,,,,,2.0,,224,w
106,32.0,16.0,8.0,,8.0,4.0,2.0,2.0,8.0,4.0,,,2.0,,,,224,w
107,32.0,16.0,8.0,2.0,8.0,4.0,4.0,,8.0,4.0,,,2.0,,,,228,a
